subject,body,label
Action required: update,Please update billing info: http://pay.example/confirm Urgent action required.,phish
Verify your account,Your account was compromised. Click here to reset: http://malicious.example/login Please click now.,phish
Invoice attached,Your account was compromised. Click here to reset: http://malicious.example/login Verify immediately.,phish
Password reset,We've noticed unusual activity. Verify now: http://170.32.37.42/verify Verify immediately.,phish
Your package is on the way,Your account was compromised. Click here to reset: http://malicious.example/login Urgent action required.,phish
Your package is on the way,Immediate action required: verify your identity at http://193.79.71.163/auth Urgent action required.,phish
Meeting reminder,Immediate action required: verify your identity at http://193.79.71.163/auth Please click now.,phish
Password reset,Immediate action required: verify your identity at http://193.79.71.163/auth Urgent action required.,phish
Invoice attached,Please update billing info: http://pay.example/confirm Please click now.,phish
Action required: update,Your account was compromised. Click here to reset: http://malicious.example/login Verify immediately.,phish
Meeting reminder,We've noticed unusual activity. Verify now: http://170.32.37.42/verify Urgent action required.,phish
Invoice attached,Please update billing info: http://pay.example/confirm Urgent action required.,phish
Password reset,Your account was compromised. Click here to reset: http://malicious.example/login Please click now.,phish
Verify your account,Please update billing info: http://pay.example/confirm Please click now.,phish
Meeting reminder,We've noticed unusual activity. Verify now: http://170.32.37.42/verify Please click now.,phish
Invoice attached,We've noticed unusual activity. Verify now: http://170.32.37.42/verify Verify immediately.,phish
Meeting reminder,Your account was compromised. Click here to reset: http://malicious.example/login Urgent action required.,phish
Verify your account,Your account was compromised. Click here to reset: http://malicious.example/login Urgent action required.,phish
Password reset,You have a new secure message. Open: http://secure.example/f17336a3 Urgent action required.,phish
Password reset,Please update billing info: http://pay.example/confirm Verify immediately.,phish
Meeting reminder,Your account was compromised. Click here to reset: http://malicious.example/login Urgent action required.,phish
Action required: update,Immediate action required: verify your identity at http://193.79.71.163/auth Urgent action required.,phish
Password reset,Immediate action required: verify your identity at http://193.79.71.163/auth Verify immediately.,phish
Password reset,Your account was compromised. Click here to reset: http://malicious.example/login Please click now.,phish
Meeting reminder,Your account was compromised. Click here to reset: http://malicious.example/login Please click now.,phish
Password reset,Your account was compromised. Click here to reset: http://malicious.example/login Verify immediately.,phish
Meeting reminder,You have a new secure message. Open: http://secure.example/f17336a3 Verify immediately.,phish
Your package is on the way,Immediate action required: verify your identity at http://193.79.71.163/auth Urgent action required.,phish
Invoice attached,Please update billing info: http://pay.example/confirm Urgent action required.,phish
Meeting reminder,Please update billing info: http://pay.example/confirm Verify immediately.,phish
Invoice attached,Your account was compromised. Click here to reset: http://malicious.example/login Urgent action required.,phish
Meeting reminder,Please update billing info: http://pay.example/confirm Please click now.,phish
Password reset,Your account was compromised. Click here to reset: http://malicious.example/login Urgent action required.,phish
Invoice attached,Please update billing info: http://pay.example/confirm Verify immediately.,phish
Your package is on the way,You have a new secure message. Open: http://secure.example/f17336a3 Verify immediately.,phish
Meeting reminder,Immediate action required: verify your identity at http://193.79.71.163/auth Verify immediately.,phish
Your package is on the way,Your account was compromised. Click here to reset: http://malicious.example/login Verify immediately.,phish
Invoice attached,Please update billing info: http://pay.example/confirm Please click now.,phish
Password reset,Your account was compromised. Click here to reset: http://malicious.example/login Verify immediately.,phish
Password reset,Please update billing info: http://pay.example/confirm Urgent action required.,phish
Meeting reminder,Please update billing info: http://pay.example/confirm Urgent action required.,phish
Invoice attached,Your account was compromised. Click here to reset: http://malicious.example/login Urgent action required.,phish
Verify your account,You have a new secure message. Open: http://secure.example/f17336a3 Please click now.,phish
Invoice attached,You have a new secure message. Open: http://secure.example/f17336a3 Please click now.,phish
Verify your account,Please update billing info: http://pay.example/confirm Please click now.,phish
Action required: update,Immediate action required: verify your identity at http://193.79.71.163/auth Please click now.,phish
Meeting reminder,Your account was compromised. Click here to reset: http://malicious.example/login Please click now.,phish
Your package is on the way,We've noticed unusual activity. Verify now: http://170.32.37.42/verify Verify immediately.,phish
Meeting reminder,Please update billing info: http://pay.example/confirm Verify immediately.,phish
Action required: update,Please update billing info: http://pay.example/confirm Please click now.,phish
Action required: update,Immediate action required: verify your identity at http://193.79.71.163/auth Verify immediately.,phish
Your package is on the way,Immediate action required: verify your identity at http://193.79.71.163/auth Please click now.,phish
Action required: update,We've noticed unusual activity. Verify now: http://170.32.37.42/verify Verify immediately.,phish
Meeting reminder,We've noticed unusual activity. Verify now: http://170.32.37.42/verify Urgent action required.,phish
Action required: update,Immediate action required: verify your identity at http://193.79.71.163/auth Please click now.,phish
Your package is on the way,Immediate action required: verify your identity at http://193.79.71.163/auth Urgent action required.,phish
Password reset,Your account was compromised. Click here to reset: http://malicious.example/login Urgent action required.,phish
Verify your account,Immediate action required: verify your identity at http://193.79.71.163/auth Urgent action required.,phish
Password reset,We've noticed unusual activity. Verify now: http://170.32.37.42/verify Please click now.,phish
Meeting reminder,Immediate action required: verify your identity at http://193.79.71.163/auth Urgent action required.,phish
Meeting reminder,Immediate action required: verify your identity at http://193.79.71.163/auth Urgent action required.,phish
Password reset,Immediate action required: verify your identity at http://193.79.71.163/auth Verify immediately.,phish
Action required: update,We've noticed unusual activity. Verify now: http://170.32.37.42/verify Please click now.,phish
Your package is on the way,Please update billing info: http://pay.example/confirm Urgent action required.,phish
Verify your account,We've noticed unusual activity. Verify now: http://170.32.37.42/verify Verify immediately.,phish
Meeting reminder,Your account was compromised. Click here to reset: http://malicious.example/login Please click now.,phish
Meeting reminder,Your account was compromised. Click here to reset: http://malicious.example/login Verify immediately.,phish
Verify your account,We've noticed unusual activity. Verify now: http://170.32.37.42/verify Verify immediately.,phish
Meeting reminder,You have a new secure message. Open: http://secure.example/f17336a3 Urgent action required.,phish
Password reset,Immediate action required: verify your identity at http://193.79.71.163/auth Urgent action required.,phish
Invoice attached,Please update billing info: http://pay.example/confirm Please click now.,phish
Action required: update,Immediate action required: verify your identity at http://193.79.71.163/auth Please click now.,phish
